pfi_number,facility_name,procedure,procedure_label,borough,primary_zip3,patient_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,oe_ratio_adverse,clinical_oe,facility_procedure_cost,cost_basis,market_median_cost,pct_vs_market_median,value_index,value_rank,star_rating
1172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,knee,Knee replacement,Bronx,104,114,1.228,4.51,2.14,2.103,5.26,0.312,0.810,52894.35,sparcs_charge,50028.51,5.7,6.840,9,4
1630,LONG ISLAND JEWISH MEDICAL CENTER,knee,Knee replacement,Queens,114,351,1.339,1.94,2.20,0.882,15.10,0.862,0.872,61766.13,sparcs_charge,50028.51,23.5,6.246,10,4
1450,LENOX HILL HOSPITAL,knee,Knee replacement,Manhattan,100,358,1.385,2.52,2.22,1.132,12.85,0.729,0.908,73088.11,sparcs_charge,50028.51,46.1,4.885,11,4
1463,NYU LANGONE HOSPITALS,knee,Knee replacement,Manhattan,103,38,2.237,4.76,3.19,1.492,23.68,0.832,1.114,23922.26,mrf_negotiated,38905.08,-38.5,4.801,12,4
1466,MOUNT SINAI WEST,knee,Knee replacement,Manhattan,100,563,1.542,2.11,2.39,0.885,25.22,1.292,1.070,60854.22,sparcs_charge,50028.51,21.6,4.549,13,4
1304,NYU LANGONE HOSPITAL-BROOKLYN,knee,Knee replacement,Brooklyn,112,511,1.487,1.63,2.33,0.702,14.09,0.746,0.724,147173.30,sparcs_charge,50028.51,194.2,4.046,14,4
1638,LONG ISLAND JEWISH FOREST HILLS,knee,Knee replacement,Queens,112,175,1.257,1.84,2.15,0.854,18.86,1.107,0.972,68705.56,sparcs_charge,50028.51,37.3,3.985,15,4
1692,WOODHULL MEDICAL & MENTAL HEALTH CENTER,knee,Knee replacement,Brooklyn,112,120,1.317,3.27,2.16,1.515,13.33,0.786,1.091,54366.14,sparcs_charge,50028.51,8.7,3.708,16,4
1168,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,knee,Knee replacement,Bronx,104,2037,1.580,2.32,2.38,0.975,17.57,0.904,0.939,116861.79,sparcs_charge,50028.51,133.6,3.700,17,3
1306,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,knee,Knee replacement,Brooklyn,112,535,1.626,3.24,2.41,1.342,28.22,1.418,1.379,58367.95,sparcs_charge,50028.51,16.7,2.832,18,3
